"date","name","blast_id","count","delivered","confirmed_opens","open_total","open_rate","click_total","click_multiple_urls","cto_rate","pv","purchase","purchase_rate","rev","optout","optout_rate","hardbounce","hardbounce_rate","softbounce","softbounce_rate","spam","spam_rate"
"2018-10-29","Birthday Daily 2018-10-29",14904808,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-10-30","Birthday Daily 2018-10-30",14916582,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-10-31","Birthday Daily 2018-10-31",14927849,1,1,1,1,"100.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-01","Birthday Daily 2018-11-01",14939813,1,1,1,1,"100.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-02","Birthday Daily 2018-11-02",14952693,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-03","Birthday Daily 2018-11-03",14966233,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-04","Birthday Daily 2018-11-04",14972851,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-05","Birthday Daily 2018-11-05",14978826,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-06","Birthday Daily 2018-11-06",14989935,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-07","Birthday Daily 2018-11-07",15006038,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-09","Birthday Daily 2018-11-09",15032140,1,1,1,1,"100.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-09","PV test",15038405,2,2,2,2,"100.00",1,,"50.00",1,0,0,0,0,0,0,0,0,0,0,0
"2018-11-10","Birthday Daily 2018-11-10",15044773,1,1,1,1,"100.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-11","Birthday Daily 2018-11-11",15051078,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-12","Birthday Daily 2018-11-12",15057070,1,1,1,1,"100.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-13","Birthday Daily 2018-11-13",15068486,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-14","Birthday Daily 2018-11-14",15080483,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-15","Birthday Daily 2018-11-15",15093385,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-16","Birthday Daily 2018-11-16",15106429,1,1,1,1,"100.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-17","Birthday Daily 2018-11-17",15120127,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-18","Birthday Daily 2018-11-18",15125967,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-19","Birthday Daily 2018-11-19",15132118,1,1,1,1,"100.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-20","Birthday Daily 2018-11-20",15145675,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-21","Birthday Daily 2018-11-21",15159653,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-22","Birthday Daily 2018-11-22",15174708,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-23","Birthday Daily 2018-11-23",15184625,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-24","Birthday Daily 2018-11-24",15196313,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-25","Birthday Daily 2018-11-25",15203300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
